ID,C2_01,actividad_pricipal_codigo_V1,actividad1_codigo_v1,actividad2_codigo_v1,S00_01_A,S01_01_A,S01_01_B,S01_01_C,S01_02_A,S01_02_B,S01_02_C,S01_03_A,S01_03_B,S01_03_C,S01_04_A,S01_04_B,S01_05_A,S01_05_B,S01_06,S01_07,S01_08,S01_09,S01_10,S01_10E,S01_11,S01_12,S01_13,S01_13E,S01_14,S02_01,S02_02,S02_03,S02_04,S02_05,S02_06,S02_07,S02_08,S02_08E,S02_09,S03_01,S03_02,S03_03,S04_01,S04_02,S04_03,S04_04,S04_05,S04_06,S04_07,S04_08,S04_09,S04_10,S04_11,S04_12,S04_13,S04_14,S04_15,S04_16,S04_17,S04_18,S04_19,S04_19E,S04_20,S04_21A,S04_21B,S04_21C,S04_21D,S04_21E,S04_21F,S04_22A,S04_22B,S04_22C,S04_22D,S04_22E,S04_22F,S05_01,S05_02,S05_03,S05_04,S06_01_A,S06_01_B,S06_02_A,S06_02_B,S06_03_A,S06_03_B,S06_04_A,S06_04_B,S06_05_A,S06_05_B,S06_06_A,S06_06_B,S07_01_A,S07_01_B,S07_01_C,S07_01_D,S07_01_E,S07_01_F,S07_02_A,S07_02_B,S07_02_C,S07_02_D,S07_02_E,S07_02_F,S07_03_A,S07_03_B,S07_03_C,S07_03_D,S07_03_E,S07_03_F,S07_04_A,S07_04_B,S07_04_C,S07_04_D,S07_04_E,S07_04_F,S07_05_A,S07_05_B,S07_05_C,S07_05_D,S07_05_E,S07_05_F,S07_06_A,S07_06_B,S07_06_C,S07_06_D,S07_06_E,S07_06_F,S07_07_A,S07_07_B,S07_07_C,S07_07_D,S07_07_E,S07_08_A,S07_08_B,S07_08_C,S07_08_D,S07_08_E,S07_08_F,S07_08_F1,S07_09_A,S07_09_B,S07_09_C,S07_09_D,S07_09_E,S07_09_F,S12_01_A,S12_01_B,S12_01_C,S12_02_A,S12_02_B,S12_02_C,VPA,PC,ISPOINF,VIPP,VBP,EAC,OGO,VUMPEEI,CI,VA,SSB,OPP,PS,R,D,n_insumos,total_valor_co,total_valor_uti,depto,sector_macro,target,target_log,log_S01_05_A,log_S01_03_C,log_S01_14,log_S02_09,log_S07_09_E,log_S06_06_B,log_S12_01_B,log_S12_02_B,log_n_insumos,log_total_valor_co,log_total_valor_uti
296307.0,SANTA CRUZ,10104,1010,99997,1112639496.0,2328.0,354.0,91439029.0,588.0,48.0,15247100.0,2916.0,402.0,106686129.0,0.0,0.0,2916.0,402.0,12746035.0,0.0,16934172.0,43737793.0,33659223.0,"bono de antiguedad, primas, comisiones, etc.",2866811.0,8399774.0,15621150.0,"aporte provivienda, solidario.",133964958.0,3761192.0,249004.0,2049944.0,4474.0,11758.0,25739.0,0.0,1543845.0,OTROS,7645956.0,389118109.0,0.0,389118109.0,0.0,2859687.0,1385398.0,715241.0,361720.0,933809.0,619160.0,2055865.0,1637181.0,2108126.0,2926766.0,0.0,0.0,21373803.0,504813.0,0.0,654181.0,3327719.0,0.0,NINGUNO,41463469.0,21,63,4,0,12,100,76,5,7,5,7,100,1112639496.0,0.0,0.0,1112639496.0,21212376.0,15510421.0,22661985.0,26002851.0,0.0,0.0,55505850.0,70037497.0,0.0,0.0,99380211.0,111550769.0,451238206.0,42293265.0,1605179.0,19006694.0,510932985.0,23812416.0,380137162.0,26268700.0,633348.0,12677649.0,418450164.0,39317721.0,34159723.0,200317.0,7274518.0,917406.0,28002928.0,4273475.0,48252032.0,5424199.0,1309690.0,1483073.0,53849615.0,4879081.0,14201288.0,2795057.0,1605830.0,440637.0,15831153.0,2893335.0,31333767.0,11583209.0,389283.0,1694115.0,44221809.0,4346574.0,127794168.0,3564671.0,1390798.0,375698.0,130343739.0,25839313.0,2287780.0,182740.0,1595111.0,29539465.0,2657205.0,OTROS,1112955659.0,94417198.0,14391386.0,38190383.0,1231171858.0,82179807.0,MATERIAS PRIMAS,139440.0,TONELADA MÉTRICA,"POLLO FAENADO, CERDO FAENADO Y PRODUCTOS PROCESADOS",3715694.0,KILOGRAMO,1115980362.0,0.0,0.0,-5701955.0,1110278407.0,7645956.0,41463469.0,374586462.0,423695887.0,686582520.0,106686129.0,107077223.0,26887735.0,240651087.0,82179807.0,7.0,389118109.0,374586462.0,SANTA CRUZ,Industria Manufacturera,1112639496.0,20.830000954705728,7.978310969867722,18.485401717194538,18.7130888237181,15.84968756936707,20.931232283665025,18.52999038155319,11.845396851711504,15.128076298044633,2.0794415416798357,19.77939348017674,19.74133321010827
538207.0,SANTA CRUZ,1010,46301,5229,222819434.0,530.0,175.0,21144426.0,0.0,0.0,0.0,530.0,175.0,21144426.0,0.0,0.0,530.0,175.0,2911855.0,0.0,2728639.0,2728639.0,2605115.0,PRIMA,3528609.0,6830767.0,0.0,NINGUNO,21333624.0,3177223.0,0.0,112590.0,579763.0,289882.0,0.0,0.0,0.0,NINGUNO,4159458.0,107112315.0,8459813.0,115572128.0,0.0,820447.0,0.0,156416.0,190689.0,1348956.0,53175.0,714302.0,327715.0,5764103.0,734559.0,6992319.0,0.0,4447434.0,497706.0,0.0,28694.0,861102.0,1533210.0,"EMPASTES, SERV. CURRIER, AVISOS Y SUSCRIPCIONES, ETC",24470827.0,64,28,1,1,6,100,,,,,,,201947329.0,12194010.0,8678095.0,222819434.0,0.0,0.0,1629590.0,7474572.0,650072.0,765844.0,4414329.0,5249224.0,0.0,0.0,6693991.0,13489640.0,24950235.0,557340.0,0.0,739362.0,26246937.0,656173.425,55496754.0,1786629.0,0.0,1658311.0,58941695.0,7367711.875,8541211.0,205877.0,1115366.0,237229.0,7868951.0,1573790.2,9376493.0,159551.0,646072.0,274192.0,9164164.0,916416.4,5798899.0,380943.0,0.0,176037.0,6355879.0,1588969.75,340816.0,24675.0,0.0,10163.0,375654.0,93913.5,1169629.0,0.0,0.0,34643.0,1204272.0,26982642.0,12792424.0,0.0,803922.0,40578988.0,10144747.0,"LAGUNA DE OXIDACION, EQUIPOS DE ENFERMERIA, OBRAS EN EJECUCION",132656679.0,15907439.0,1761438.0,3933859.0,150736540.0,22341722.15,MATERIA PRIMA,1.0,KILOGRAMO,HAMBURGUESAS,1.0,KILOGRAMO,207792311.0,3849969.0,8678095.0,0.0,220320375.0,4159458.0,24470827.0,106277420.0,134907705.0,85412670.0,21144426.0,10974248.0,10359376.0,42478050.0,22341722.15,5.0,107112315.0,106277420.0,SANTA CRUZ,Industria Manufacturera,222819434.0,19.221872292913208,6.274762021241939,16.86688692991668,16.875795024437377,15.240895575703538,18.83104410932051,16.417432615524415,0.6931471805599453,0.6931471805599453,1.791759469228055,18.489388524137986,18.481563412471885
544316.0,SANTA CRUZ,10101,1010,99997,152951332.0,300.0,36.0,16260779.0,0.0,0.0,0.0,300.0,36.0,16260779.0,0.0,0.0,300.0,36.0,1392143.0,140240.0,1580812.0,1580812.0,110101.0,VACACIONES,1667707.0,285467.0,832157.0,PRO-VIVIENDA Y APORTE SOLIDARIO,7589439.0,1813913.0,647860.0,65962.0,7418.0,9883.0,635.0,0.0,34290.0,ACEITES,2579961.0,87770900.0,612054.0,88382954.0,3509.0,624366.0,230460.0,125735.0,241249.0,305278.0,169197.0,272440.0,469548.0,18351.0,152683.0,22684.0,0.0,384264.0,147176.0,0.0,20342.0,519941.0,2726345.0,"MATERIALES DE TRABAJO, MATERIALES DE LIMPIEZA, SERVICIOS DE LIMPIEZA, TRAMITES, INSUMOS PARA REFRIGERIOS",6433568.0,15,65,4,4,12,100,100,0,0,0,0,100,127530632.0,864850.0,24555850.0,152951332.0,10407.0,0.0,2197290.0,5359288.0,41947.0,16748.0,5975122.0,1943305.0,782926.0,857154.0,9007692.0,8176495.0,48272988.0,732794.0,142315.0,1439361.0,50302829.0,2120222.0,24546691.0,477793.0,0.0,732506.0,25756990.0,1327441.0,1415164.0,0.0,50580.0,40484.0,1405068.0,136216.0,4226622.0,129254.0,615909.0,115738.0,3855705.0,279064.0,2873025.0,182422.0,0.0,87358.0,3142804.0,162678.0,370576.0,20659.0,14706.0,10800.0,387329.0,28862.0,10160784.0,0.0,0.0,300953.0,10461737.0,121201.0,0.0,115749.0,0.0,5452.0,1363.0,NINGUNO,91987051.0,1542922.0,939259.0,2727200.0,95317914.0,4055846.0,CANALES VACUNOS,186300.0,KILOGRAMO,CARNE EN CORTES,118000.0,KILOGRAMO,130692630.0,227597.0,24555850.0,-10407.0,155465670.0,2579961.0,6433568.0,91728489.0,100742018.0,54723652.0,16260779.0,4804108.0,2785331.0,23850218.0,4055846.0,8.0,87770900.0,91728489.0,SANTA CRUZ,Industria Manufacturera,152951332.0,18.845630343789637,5.707110264748875,16.604266631413097,15.842268365358667,14.763285228107161,18.372728336266956,15.916774254947589,12.135118924261802,11.678448377988165,2.1972245773362196,18.29024057998217,18.334343575996375
547760.0,COCHABAMBA,10104,46103,99997,191899185.55228132,855.0,357.0,23373266.0,1.0,1.0,7626.0,856.0,358.0,23380892.0,0.0,0.0,856.0,358.0,3785118.0,1759519.0,6313371.0,2540437.0,19569981.0,"DOMINICAL,NOCTURNO,ANTIGUEDAD,OTROS INGRESOS,NACIDO VIVO",4069439.0,770982.0,2260033.0,PRO VIVIENDA Y APORTE SOLIDARIO,41068882.0,1836398.0,73076.0,939178.0,186011.0,75242.0,615811.0,3172.0,71305.0,ACEITES Y LUBRICANTES,3800193.0,29280029.0,0.0,29280029.0,255580.0,158691.0,1251659.0,2098825.0,547026.0,672538.0,61476.0,348365.0,649549.0,10642047.0,65250.0,812110.0,0.0,507482.0,207008.0,1407942.0,23740.0,1343189.0,4970619.0,"SUMUNISTROS,ADEREZOS Y OTROS P/FRIALES Y ROST, ASEO Y LIMPIEZA,GASTOS EN FERIA Y EVENTOS,OTROS GASTOS VARIOS",26023096.0,2,19,20,2,57,100,80,0,5,0,15,100,185265415.55228132,6633770.0,0.0,191899185.55228132,2741008.0,1416446.0,3599067.0,1435880.0,0.0,0.0,81345015.0,79692844.0,0.0,0.0,87685090.0,82545170.0,56959960.0,316614.0,505416.0,1595519.0,58366677.0,3071604.0,11372813.0,30781.0,0.0,320264.0,11723858.0,2924054.0,237246.0,112421.0,0.0,9834.0,359501.0,129050.0,1366635.0,46197.0,0.0,39198.0,1452030.0,145203.0,484288.0,149173.0,0.0,17814.0,651275.0,217487.0,16954.0,14029.0,0.0,650.0,31633.0,13732.0,15606240.0,0.0,252439.0,431780.0,15785581.0,9249743.0,154516.0,0.0,263054.0,9667313.0,2449057.0,"EQUIPOS E INSTALACIONES, EQUIPOS DE COMUNICACION, CANALES DE REGADIO Y POZOS",95293879.0,823731.0,757855.0,2678113.0,98037868.0,8950187.0,MAIZ,5000000.0,KILOGRAMO,POLLO ENTERO,15000.0,KILOGRAMO,183102228.55228132,6633770.0,0.0,-1324562.0,188411436.55228132,3800193.0,26023096.0,30932200.0,60755489.0,127655947.55228136,23380892.0,33968426.0,7100454.0,64449772.0,8950187.0,4.0,29280029.0,30932200.0,COCHABAMBA,Industria Manufacturera,191899185.55228132,19.07248072205431,6.75343791859778,16.96742970831728,17.530761288095146,15.150562676025052,18.400864380361842,18.22885622873927,15.424948670398354,9.61587214452889,1.6094379124341003,17.192416271647023,17.24730830281487
271912.0,LA PAZ,10106,99997,99997,94239676.0,254.0,106.0,18961377.0,19.0,9.0,16611.0,273.0,115.0,18977988.0,0.0,0.0,273.0,115.0,1573655.0,0.0,2019719.0,2019719.0,2957600.0,OTROS,2164078.0,2839195.0,1222219.0,OTROS,14796185.0,780746.0,325331.0,77073.0,0.0,295349.0,0.0,0.0,0.0,NINGUNO,1478499.0,37989478.0,140760.0,38130238.0,0.0,0.0,0.0,7284828.0,3774948.0,267993.0,82688.0,192939.0,141364.0,0.0,219690.0,0.0,0.0,1131946.0,143212.0,493457.0,74089.0,197120.0,0.0,NINGUNO,14004274.0,,,,,,,,,,,,,94092233.0,147443.0,0.0,94239676.0,951600.0,833607.0,461263.8535522372,965955.0,10813.0,4130.0,6355624.0,7949435.0,0.0,0.0,7779300.853552237,9753127.0,16978667.0,75359.0,175279.0,476176.0,17354923.0,271373.0,40097539.0,2483676.0,1607904.0,1156371.0,42129683.0,1666281.0,1850410.0,374817.0,154520.0,52491.0,2123198.0,99152.0,1325737.0,12841.0,93210.0,36007.0,1281375.0,99496.0,2132852.0,37126.0,206966.0,56621.0,2019633.0,87515.0,6453.0,0.0,0.0,181.0,6634.0,1658.5,41919665.0,0.0,1835003.0,1152674.0,41237335.0,0.0,0.0,0.0,0.0,0.0,0.0,NINGUNO,104311323.0,2983819.0,4072882.0,2930521.0,106152781.0,2225475.5,MATERIA PRIMA,40.0,KILOGRAMO,EMBUTIDOS Y SALCHICHAS,25.0,KILOGRAMO,94596924.14644776,0.0,0.0,-117993.0,94478931.14644776,1478499.0,14004274.0,36395667.0,51878440.0,42600491.14644776,18977988.0,8570693.0,6225492.0,33774173.0,2225475.5,5.0,37989478.0,36395667.0,LA PAZ,Industria Manufacturera,94239676.0,18.361351850442322,5.6131281063880705,16.75879039189717,16.509880002820594,14.206538618274669,18.48038995396606,16.093098612034954,3.713572066704308,3.258096538021482,1.791759469228055,17.45281981093447,17.40996031453559
544029.0,SANTA CRUZ,10104,46303,46303,51715721.0,90.0,5.0,4668506.0,0.0,0.0,0.0,90.0,5.0,4668506.0,0.0,0.0,90.0,5.0,436384.0,0.0,323282.0,323282.0,349647.0,PRIMA,555200.0,287868.0,118285.0,PRO VIVIENDA,2393948.0,889731.0,2010.0,0.0,82801.0,278814.0,0.0,0.0,0.0,NINGUNO,1253356.0,5225744.0,0.0,5225744.0,51258.0,1135570.0,10836.0,0.0,86168.0,257387.0,3000.0,56132.0,30250.0,0.0,73180.0,0.0,0.0,0.0,247625.0,0.0,0.0,130646.0,0.0,NINGUNO,2082052.0,10,20,70,0,0,100,0,5,95,0,0,100,51715721.0,0.0,0.0,51715721.0,1643703.0,999360.0,0.0,0.0,0.0,0.0,626631.9463601531,846082.0,0.0,0.0,2270334.946360153,1845442.0,9244876.717,0.0,0.0,0.0,9244876.717,231121.9179,17815041.67,925355.0,0.0,0.0,18740396.67,2342549.584,627228.0258,0.0,0.0,0.0,627228.0258,125445.6052,109621.521,0.0,0.0,0.0,109621.521,10962.1521,38498.59588,0.0,0.0,0.0,38498.59588,9624.648969,23275.56901,0.0,0.0,0.0,23275.56901,5818.892253,6139883.901,0.0,0.0,137787.0,6277670.901,0.0,0.0,0.0,0.0,0.0,0.0,NINGUNO,33998426.0,925355.0,0.0,137787.0,35061568.0,2725522.8,NO,95.0,UNIDAD,POLLO BB,95.0,UNIDAD,51715721.0,0.0,0.0,-644343.0,51071378.0,1253356.0,2082052.0,5006293.946360153,8341701.946360153,42729676.05363984,4668506.0,1432595.0,961353.0,7062454.0,2725522.800303743,4.0,5225744.0,5006293.946360153,SANTA CRUZ,Industria Manufacturera,51715721.0,17.761272393829717,4.51085950651685,15.356349878315939,14.688454861614993,14.04133610949841,17.372616188309994,14.42822991503644,4.564348191467836,4.564348191467836,1.6094379124341003,15.469107929383112,15.426206667807973
548539.0,COCHABAMBA,1010,46302,99997,28496339.0,227.0,135.0,5310924.0,0.0,0.0,0.0,227.0,135.0,5310924.0,0.0,0.0,227.0,135.0,986032.0,0.0,1400666.0,219715.0,0.0,NINGUNO,0.0,0.0,1931762.0,APORTES PATRONALES,4538180.0,348743.0,0.0,76932.0,0.0,0.0,0.0,0.0,0.0,NINGUNO,425675.0,6042278.0,899511.0,6941789.0,0.0,0.0,874233.0,147797.0,4771.0,210246.0,17869.0,25815.0,74950.0,244422.0,0.0,0.0,0.0,1499227.0,0.0,237121.0,0.0,0.0,2282446.0,"GASTOS DE LIMPIEZA, COURRIER, PARQUEOS Y OTROS",5618897.0,,,,,,,,,,,,,26454951.0,2041388.0,0.0,28496339.0,591565.0,0.0,460210.0,0.0,33498.0,37.0,1457341.0,821620.0,0.0,0.0,2542614.0,821657.0,65876.0,0.0,0.0,0.0,65876.0,328.0,4227776.0,0.0,0.0,0.0,4227776.0,190040.0,6611302.0,0.0,0.0,0.0,6611302.0,254281.0,3192726.0,0.0,0.0,0.0,3192726.0,62602.0,1800241.0,0.0,0.0,0.0,1800241.0,39369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,NINGUNO,15897927.0,0.0,0.0,0.0,15897921.0,546620.0,CARNE DE CERDO,0.0,OTROS,CONSERVAS DE CARNE,0.0,OTROS,25994741.0,1108416.0,0.0,-591565.0,26511592.0,425675.0,5618897.0,6677999.0,12722571.0,13789021.0,5310924.0,2606413.0,1931762.0,9849099.0,546620.0,15.0,6042278.0,6677999.0,COCHABAMBA,Industria Manufacturera,28496339.0,17.16528621593956,5.429345628954441,15.485276577670481,15.328036828938599,12.961433772496163,16.58169896682564,13.619079529067848,0.0,0.0,2.772588722239781,15.614291816625302,15.714329099485736
10275051.0,SANTA CRUZ,1010,01500,99997,24186315.0,172.0,34.0,5672098.0,264.0,24.0,379812.0,436.0,58.0,6051910.0,0.0,0.0,436.0,58.0,510313.0,248630.0,510313.0,0.0,262209.0,OTROS,612957.0,104732.0,306242.0,OTROS,2555396.0,903498.0,123507.0,0.0,43365.0,101808.0,105409.0,0.0,0.0,NINGUNO,1277587.0,12684663.0,0.0,12684663.0,0.0,259622.0,0.0,399015.0,189132.0,44370.0,0.0,169759.0,58872.0,158383.0,19436.0,0.0,0.0,9372.0,112462.0,0.0,27998.0,0.0,696330.0,"GASTOS GENERALES,GASTOS VARIOS COMERCIAL ,ASEO Y LIMPIEZA Y OTROS.",2144751.0,0,0,0,0,0,0,0,0,0,0,0,0,22668739.0,0.0,1517576.0,24186315.0,0.0,0.0,0.0,0.0,0.0,0.0,2087343.0,1969850.0,0.0,0.0,2087343.0,1969850.0,2594999.0,91974.0,0.0,66451.0,2753424.0,58697.0,2428950.0,540219.0,0.0,43919.0,3013088.0,415599.0,828747.0,0.0,0.0,46920.0,875667.0,265386.0,72268.0,354874.0,0.0,7795.0,434937.0,29152.0,193970.0,17055.0,0.0,8524.0,219549.0,73407.0,259794.0,0.0,0.0,9803.0,269597.0,42124.0,8312403.0,0.0,0.0,245847.0,8558250.0,15138.0,6907.0,0.0,0.0,22045.0,5511.25,OTROS,14706269.0,1011029.0,0.0,429259.0,16146557.0,889876.25,0,0.0,ELIJA LA OPCION,0,0.0,ELIJA LA OPCION,22668739.0,0.0,1517576.0,0.0,24186315.0,1277587.0,2144751.0,12802156.0,16224494.0,7961821.0,6051910.0,1531465.0,1023931.0,8607306.0,889876.25,3.0,12684663.0,12802156.0,SANTA CRUZ,Industria Manufacturera,24186315.0,17.001297576651748,6.07993319509559,15.615884647899898,14.753718151154168,14.060484483227683,16.59721745798318,14.49346846333597,0.0,0.0,1.3862943611198906,16.35590426268678,16.365124230317683
13086052.0,COCHABAMBA,1010,99997,99997,41361075.0,57.0,4.0,3537036.0,0.0,0.0,0.0,57.0,4.0,3537036.0,0.0,0.0,57.0,4.0,222052.5,0.0,166977.0,205524.0,756693.0,"BONO DE ANTIGÜEDAD, SALARIO DOMINICAL , RECARGO NOCTURNO Y OTROS",353704.0,60483.0,176851.0,PROVIVIENDA  Y APORTE SOLIDARIO,1942286.5,11422.0,510.0,0.0,794067.0,26130.0,599321.0,0.0,0.0,NINGUNO,1431450.0,29125364.0,0.0,29125364.0,0.0,443007.0,1444429.0,191430.0,3647.0,1047573.0,0.0,17178.0,74551.0,199482.0,6756.0,0.0,0.0,30695.0,8659.0,777926.0,298794.0,0.0,0.0,NINGUNO,4544127.0,7,8,79,6,0,100,94,1,5,0,0,100,40447095.0,913980.0,0.0,41361075.0,0.0,0.0,0.0,0.0,0.0,0.0,1130333.7,1604941.0,0.0,0.0,1130333.7,1604941.0,1305891.0,2353517.0,0.0,66500.0,3725908.0,59891.0,1769154.0,109604.0,0.0,62351.0,1941109.0,284972.0,715140.0,239072.0,282110.0,23006.0,695108.0,168053.0,25960.0,5542.0,0.0,670.0,32172.0,2469.0,13829.0,106013.0,0.0,1456.0,121298.0,14197.0,0.0,19171.0,0.0,74.0,19245.0,869.0,3267968.0,2886483.0,0.0,129440.0,6283891.0,0.0,0.0,0.0,0.0,0.0,0.0,NINGUNO,7097942.0,5719402.0,282110.0,283497.0,12818731.0,530451.0,0,0.0,KILOGRAMO,0,0.0,ELIJA LA OPCION,40447095.0,913980.0,0.0,0.0,41361075.0,1431450.0,4544127.0,28650756.7,34626333.7,6734741.299999997,3537036.0,1351246.5,591038.0,5479320.5,530451.0,5.0,29125364.0,28650756.699999996,COCHABAMBA,Industria Manufacturera,41361075.0,17.53785080329994,4.060443010546419,15.078799928975425,14.479376960130462,14.174199173105603,16.366418096608765,14.288598176821642,0.0,0.0,1.791759469228055,17.18712000196045,17.17069044754669
4195653.0,SANTA CRUZ,1010,4630,89000,12037330.0,25.0,6.0,1127452.0,0.0,0.0,0.0,25.0,6.0,1127452.0,0.0,0.0,25.0,6.0,93917.0,0.0,0.0,0.0,0.0,NINGUNO,121332.0,56282.0,24266.0,OTROS,295797.0,474599.0,40961.0,0.0,2843.0,186933.0,105815.0,0.0,0.0,NINGUNO,811151.0,5477198.0,471515.0,5948713.0,0.0,755578.0,0.0,0.0,378.0,114462.0,2870.0,143315.0,19704.0,35926.0,0.0,0.0,0.0,53594.0,0.0,0.0,0.0,85659.0,48157.0,SON GASTOS QUE NO MENCIONAN EN PARTE SUPERIOR,1259643.0,24,17,54,1,4,100,,,,,,,11555387.0,467411.0,14532.0,12037330.0,0.0,0.0,9955.0,15616.0,147065.0,117321.0,13289.0,10497.0,0.0,0.0,170309.0,143434.0,2120934.0,0.0,0.0,59645.0,2180579.0,54514.475,4267720.0,136287.0,0.0,123487.0,4527495.0,565936.875,4992606.0,165307.0,0.0,141662.0,5299575.0,1059915.0,1024943.0,67837.0,0.0,29718.0,1122498.0,112249.8,6042.0,0.0,170.0,6212.0,12084.0,5859.0,243419.0,0.0,6481.0,0.0,236938.0,59234.5,180450.0,0.0,0.0,5075.0,185524.0,920846.0,7175.0,0.0,26074.0,954096.0,238524.0,EQUIPO DE INSTALACIONES Y DE OFICINA,13756960.0,376606.0,6651.0,391873.0,14518789.0,2096233.65,CARNE,200.0,KILOGRAMO,CHORIZOS,290.0,KILOGRAMO,11561048.0,-33848.0,14532.0,0.0,11541732.0,811151.0,1259643.0,5479990.0,7550784.0,3990948.0,1127452.0,93917.0,201880.0,1423249.0,2096233.65,1.0,5477198.0,5479990.0,SANTA CRUZ,Industria Manufacturera,12037330.0,16.303523295529942,3.258096538021482,13.935471664345997,12.59743206791076,13.606210738470715,16.490954230555175,11.873637249891212,5.303304908059076,5.673323267171493,0.6931471805599453,15.516104396865162,15.516614016587083
